label,age,tenure_months,monthly_bill,support_tickets,late_payments,data_usage_gb
0,24,30,110.10,0,7,6.2
0,58,27,87.75,1,2,0.3
1,37,4,35.80,3,4,29.8
1,58,14,64.15,2,8,26.9
0,50,54,54.55,3,2,47.3
0,56,27,78.75,2,5,15.2
0,30,25,83.90,1,1,37.4
0,27,58,62.45,3,3,45.2
0,41,50,45.00,2,5,17.2
0,66,38,104.55,1,3,20.6
0,28,45,39.90,0,4,32.3
1,52,2,58.45,3,6,25.6
0,67,55,68.30,1,5,8.0
0,51,57,43.70,3,5,11.0
0,18,49,77.20,3,4,41.7
0,56,37,77.50,1,9,9.7
1,38,25,119.25,2,4,9.1
0,49,31,49.50,1,7,40.0
1,19,1,117.80,5,1,42.6
0,25,23,85.80,4,7,42.6
0,41,20,47.45,4,0,46.6
0,69,49,76.60,1,9,49.7
0,37,25,88.60,2,9,23.1
1,33,55,94.45,0,9,27.5
0,21,58,24.90,0,1,14.5
1,33,54,80.65,2,7,3.4
0,54,27,69.65,2,3,4.9
0,23,35,110.40,1,8,36.3
0,23,48,48.60,2,1,24.4
1,64,48,99.90,4,6,16.5
0,49,35,80.70,1,8,6.4
0,70,52,55.25,0,4,32.8
0,22,39,83.65,2,6,5.0
0,66,58,82.10,2,0,31.0
0,52,15,87.80,2,2,45.0
0,67,32,92.10,2,2,15.9
1,26,15,85.90,3,3,22.5
0,26,18,103.85,1,5,30.8
0,60,28,82.80,1,6,15.3
0,48,32,110.35,1,9,29.2
1,53,2,84.65,0,7,28.3
0,28,25,50.90,5,2,18.2
0,34,22,64.10,5,5,15.8
0,51,43,77.95,1,2,21.4
0,56,44,93.25,3,1,0.2
0,45,52,29.00,6,7,12.3
0,31,26,49.50,1,5,11.1
0,52,47,94.75,3,2,37.0
0,66,11,37.55,2,5,21.8
0,64,54,33.20,3,0,42.0
0,62,30,73.95,4,0,6.7
1,30,59,117.15,2,7,36.6
1,63,9,73.10,2,4,43.9
0,37,40,111.35,2,3,23.1
0,43,35,103.05,1,2,17.9
1,60,2,45.70,4,9,15.3
1,59,59,102.45,1,2,27.6
0,41,26,68.20,2,7,8.8
0,46,38,100.65,4,1,30.3
0,51,37,94.65,2,2,42.1
0,46,43,53.85,1,9,42.9
1,25,2,31.50,3,6,7.0
1,33,6,116.30,1,6,26.9
0,32,42,34.10,4,6,13.2
1,22,28,116.65,4,6,44.3
1,39,9,106.00,1,7,3.8
1,19,56,92.40,4,6,3.8
0,55,30,118.00,0,0,0.9
1,53,12,116.75,0,0,25.4
1,32,4,100.45,6,8,1.6
0,55,17,56.60,1,3,29.1
0,32,25,99.05,2,5,20.3
0,18,21,21.40,3,0,29.5
0,22,14,73.65,0,5,45.3
0,63,30,65.50,1,8,27.6
0,58,21,87.30,3,3,27.2
0,21,22,87.25,4,0,49.9
0,32,49,78.45,0,0,23.6
1,22,57,102.25,1,3,38.8
0,20,25,114.05,2,3,18.3
0,39,18,30.85,2,5,11.2
0,22,49,43.40,2,4,38.6
0,50,54,22.50,5,2,36.7
0,33,27,108.40,2,1,14.5
0,35,17,76.15,0,6,23.2
1,60,54,111.55,1,8,25.5
1,49,6,42.15,4,9,19.8
0,31,31,26.30,1,4,25.1
1,52,2,102.40,3,2,33.1
0,26,48,110.95,0,1,42.4
0,64,35,50.20,0,0,40.3
1,54,4,60.85,3,4,30.7
0,54,23,34.00,4,4,8.3
1,48,15,114.65,2,7,25.7
0,33,42,50.45,1,8,22.3
1,68,5,69.25,3,9,9.0
0,48,50,29.70,1,8,47.4
1,69,42,108.75,4,5,33.0
1,44,3,33.55,2,6,48.4
0,30,49,65.35,4,2,36.8
1,24,2,87.05,2,5,24.2
1,24,16,94.30,3,7,17.9
1,60,13,114.60,1,5,10.9
0,45,54,61.90,3,3,24.4
1,40,2,94.25,1,2,3.1
0,45,40,35.45,3,6,18.5
0,44,10,61.50,0,0,2.1
0,47,16,29.90,1,3,10.3
1,64,9,68.95,1,3,45.4
0,21,31,60.80,1,2,18.1
0,61,43,115.15,2,3,23.5
0,59,8,23.25,1,0,22.7
0,59,37,57.05,2,9,2.3
0,24,14,64.35,1,8,49.0
0,21,30,115.05,0,2,16.2
0,43,45,105.55,4,1,35.2
0,64,17,29.95,1,5,26.1
0,39,50,88.55,2,0,41.5
0,69,24,74.45,2,6,41.7
1,24,11,117.80,0,4,13.2
0,33,39,55.85,1,8,27.2
0,30,39,59.80,2,9,8.7
0,30,48,39.00,0,0,32.7
0,52,46,32.20,2,9,18.3
1,46,8,104.80,3,0,32.7
0,26,50,65.45,3,1,41.8
0,45,53,86.30,2,0,25.8
1,29,11,84.15,3,0,18.8
0,35,20,79.70,3,1,45.4
0,47,7,22.15,2,6,25.8
0,33,38,98.70,0,7,17.6
1,22,2,44.35,3,6,43.4
0,46,60,32.60,4,1,24.3
1,69,20,76.45,3,8,24.1
0,53,37,26.85,2,4,30.2
0,24,44,96.50,2,7,25.1
0,21,59,40.70,1,2,6.9
0,59,25,41.60,3,3,8.3
0,52,26,106.95,4,0,3.9
0,18,46,52.85,3,4,32.2
0,23,13,34.75,3,6,10.6
1,66,5,110.05,0,1,9.3
0,33,38,20.30,5,8,18.1
0,28,45,105.85,0,4,35.9
0,44,54,34.45,1,9,5.9
0,49,41,33.00,3,9,11.5
0,48,16,45.05,3,2,40.6
0,31,7,37.45,1,6,36.0
0,43,45,86.10,0,1,24.1
0,21,50,22.60,2,8,23.9
0,28,20,21.50,1,9,10.5
1,42,55,99.00,2,1,8.1
0,18,44,43.80,2,4,41.7
0,42,39,52.40,2,1,1.1
0,34,52,37.40,1,1,2.2
1,68,8,25.25,3,7,28.7
0,68,51,94.15,2,3,8.1
0,47,37,72.60,1,9,31.5
0,36,51,94.55,2,3,2.0
1,45,3,67.60,1,4,28.6
1,62,23,97.80,1,8,2.8
0,64,35,71.30,1,3,12.9
0,68,28,30.90,3,5,9.0
0,53,43,70.40,2,6,47.9
0,60,24,114.55,0,4,30.0
1,63,5,24.35,2,2,28.2
0,49,33,98.30,1,0,0.9
1,27,42,106.70,4,8,36.0
0,30,22,72.15,3,7,33.1
1,36,1,65.80,3,3,14.2
1,31,55,116.40,0,7,4.3
0,21,27,26.10,0,5,22.5
0,55,53,67.90,0,3,49.6
0,65,32,60.15,1,0,43.4
1,52,7,88.60,3,0,8.5
0,21,28,69.05,1,1,41.5
1,65,24,110.95,5,1,30.0
0,38,41,27.35,1,9,39.7
0,21,58,28.10,1,7,41.0
0,21,54,80.85,1,2,9.1
0,55,30,26.55,1,1,33.0
0,48,46,47.50,4,8,13.2
1,50,10,83.30,2,1,36.2
0,51,28,74.85,0,1,17.1
0,28,12,52.50,2,4,22.7
0,21,47,119.45,1,3,29.5
0,50,34,73.05,4,7,11.5
0,23,42,65.35,0,4,19.3
0,29,18,80.55,4,4,5.4
0,22,40,29.90,3,7,10.1
0,56,52,90.20,4,0,43.0
1,22,59,105.30,2,1,25.2
0,61,35,85.10,4,2,21.0
0,33,50,96.90,3,0,7.5
0,43,31,92.10,1,4,4.8
0,25,30,41.50,1,5,23.8
0,54,28,65.15,1,5,30.7
0,33,53,42.85,2,6,2.0
0,55,47,53.90,1,1,39.2
0,56,38,65.35,3,1,25.2
0,20,18,61.60,5,0,5.9
0,57,21,29.50,3,0,24.1
0,23,55,62.70,4,2,6.5
0,44,16,86.50,2,2,30.2
0,60,54,57.45,1,5,41.4
0,55,60,35.25,2,5,44.8
1,54,6,112.30,2,7,38.7
0,51,18,26.70,0,9,32.5
1,38,57,103.20,4,4,26.1
0,34,29,29.30,1,1,18.5
0,31,16,29.65,1,5,2.2
0,60,49,93.90,1,5,26.5
0,63,30,101.20,2,2,11.5
0,38,37,75.65,3,1,40.1
0,33,40,78.65,1,6,39.5
0,34,43,76.15,0,6,19.1
0,43,25,52.95,2,7,29.5
0,26,22,32.20,2,4,37.1
1,60,2,55.35,2,6,38.1
0,59,32,86.55,0,7,34.8
1,37,55,95.05,1,6,4.9
1,47,21,106.80,3,2,6.7
1,38,12,92.10,2,1,23.9
0,66,32,116.85,1,2,11.6
0,22,14,80.05,2,0,43.0
0,18,23,55.15,1,2,14.2
0,47,52,77.80,1,1,43.8
0,57,17,41.25,2,6,20.4
1,54,22,85.65,4,9,9.5
0,24,18,42.40,0,7,35.5
0,22,57,30.80,2,9,39.5
0,52,39,104.55,2,7,28.9
0,31,45,56.75,2,2,5.9
1,50,57,96.25,2,9,0.4
0,34,18,77.40,0,6,32.7
0,26,36,100.70,3,5,34.4
1,40,1,104.50,1,9,15.8
0,22,34,117.45,2,0,18.1
1,33,13,101.85,0,2,7.7
1,41,6,81.35,4,7,32.6
1,36,16,84.25,1,7,12.7
0,28,47,22.65,0,1,42.7
1,46,27,112.90,4,6,21.2
0,52,32,102.95,3,7,18.3
0,63,36,46.75,2,0,13.8
0,37,49,38.05,0,1,34.0
1,57,16,90.25,3,4,37.7
0,69,45,50.90,6,5,20.7
0,59,31,54.00,3,0,39.2
0,51,42,20.60,3,8,24.1
0,18,46,107.00,0,9,18.5
0,60,32,76.65,1,9,27.7
0,70,29,60.10,0,3,12.7
0,53,51,34.20,3,5,15.3
1,37,2,83.30,2,8,17.2
1,60,6,23.05,2,8,35.3
1,24,19,94.60,2,9,36.8
0,26,15,41.50,3,1,42.7
0,34,26,62.00,2,6,33.0
0,25,45,54.10,3,3,37.4
0,24,16,57.00,0,7,22.3
0,65,20,92.15,2,5,35.0
0,53,43,97.70,3,6,8.1
0,27,38,76.75,2,2,10.7
0,35,24,28.50,4,8,20.0
0,36,31,25.25,0,9,16.9
0,56,36,35.75,4,0,27.5
0,31,34,81.80,2,0,34.9
0,63,23,87.40,2,2,35.3
0,39,28,47.20,2,8,8.0
0,31,48,86.20,2,7,48.2
0,61,36,68.55,0,7,0.3
0,58,22,64.20,2,2,4.6
0,34,23,47.30,1,1,7.3
0,50,45,95.50,2,7,46.3
0,49,30,31.40,1,5,21.8
0,34,18,63.00,5,3,3.2
0,21,20,48.30,1,5,11.1
0,23,17,87.85,2,4,4.0
0,58,15,68.65,3,0,1.9
1,45,8,86.70,3,8,19.2
0,35,47,24.55,1,3,49.2
1,20,13,59.55,3,8,30.7
0,18,21,79.95,1,6,26.1
0,39,8,20.75,2,6,35.6
0,67,48,50.15,3,3,29.9
0,26,35,41.10,3,1,47.3
0,58,49,33.70,1,7,41.0
0,34,45,45.55,4,7,32.0
1,28,12,52.80,3,9,21.9
0,65,13,20.75,1,7,10.1
0,46,14,94.70,1,1,32.8
0,53,48,37.55,2,7,40.2
0,63,31,58.00,4,7,14.3
0,45,18,90.35,1,5,1.7
0,53,47,70.05,0,1,30.0
0,18,38,103.35,0,7,25.8
0,25,49,100.60,1,0,11.6
0,22,34,27.20,3,1,8.5
0,62,39,106.20,1,6,1.8
0,27,19,24.25,3,6,12.0
0,52,7,21.85,1,0,0.0
1,20,54,112.10,2,8,7.9
1,41,13,106.20,1,8,49.8
0,55,19,77.60,2,0,39.0
0,53,15,77.35,2,1,17.7
0,27,24,90.95,1,9,19.8
1,45,12,61.75,1,9,29.3
0,26,20,31.50,2,4,25.9
1,20,1,22.10,2,8,36.8
0,37,46,52.50,1,8,3.4
0,41,35,100.15,2,3,4.5
1,68,9,81.80,1,7,14.2
1,20,18,103.20,3,5,41.5
1,40,3,112.00,2,5,45.8
0,31,4,28.80,0,0,17.4
0,61,36,104.45,2,3,48.2
0,33,19,44.35,3,7,13.8
0,60,45,78.90,2,5,30.3
1,24,9,72.40,0,8,9.7
0,40,41,59.60,0,9,46.5
0,67,56,51.05,2,9,28.7
0,53,49,53.95,3,7,13.1
0,44,32,53.30,1,5,20.4
1,57,7,36.80,3,7,5.3
0,65,56,71.05,1,1,3.6
1,27,1,31.40,1,1,14.7
0,33,37,71.00,2,3,47.4
0,28,19,110.60,2,0,40.1
0,69,31,54.95,2,5,47.8
0,69,31,92.75,1,5,43.8
0,29,29,101.90,2,4,40.7
1,44,22,101.50,5,8,28.7
0,19,12,43.65,3,8,34.7
1,29,4,34.65,1,5,48.3
0,65,17,39.75,1,1,28.2
0,39,56,80.25,2,0,38.5
0,68,31,96.00,5,2,37.9
1,44,8,85.55,3,7,48.1
0,69,53,37.70,0,2,22.9
1,60,5,97.30,4,6,23.0
0,65,26,69.40,2,1,29.3
0,69,32,95.45,4,4,1.4
1,33,5,96.00,4,9,5.8
0,35,37,64.90,3,3,3.4
0,28,41,112.40,1,3,31.7
0,68,44,76.45,1,1,49.7
1,62,4,83.55,1,6,33.8
1,24,10,82.45,2,3,11.5
1,42,10,106.40,4,7,15.8
0,20,52,82.70,6,3,47.8
0,48,37,35.10,2,5,25.8
0,32,20,26.85,1,1,0.5
1,30,6,64.20,2,6,41.6
0,70,16,50.30,2,0,12.4
1,47,8,47.45,4,9,4.7
0,40,36,25.60,1,1,33.7
0,37,49,70.75,2,7,41.1
0,70,27,51.05,6,7,3.8
0,68,39,65.20,3,9,46.6
0,32,39,25.70,2,8,23.8
0,32,51,103.15,3,2,17.7
0,19,40,27.65,1,7,44.7
1,60,15,106.45,4,0,13.5
0,30,50,105.55,1,8,47.4
0,43,34,81.50,1,0,34.2
0,39,25,70.70,0,8,45.5
0,35,29,66.25,4,6,24.9
1,22,59,75.45,2,9,10.0
1,67,29,99.20,4,7,36.8
1,35,20,109.60,0,8,43.6
0,40,56,64.95,2,2,10.3
0,59,38,101.00,1,9,10.1
0,50,28,85.20,1,2,12.5
0,43,20,52.15,3,2,30.9
0,61,37,67.55,3,1,7.8
0,52,40,35.10,3,6,5.3
1,39,4,26.20,0,9,46.0
0,19,40,30.35,1,9,33.8
0,25,48,109.90,3,5,33.2
1,34,7,54.35,1,8,30.7
0,29,49,91.45,0,6,38.2
1,55,14,70.45,2,6,27.1
0,34,41,37.25,2,9,2.1
0,20,14,44.75,2,3,24.1
0,24,17,63.80,0,4,31.0
0,56,43,63.95,1,6,24.6
1,45,6,72.25,0,5,49.3
0,40,11,35.85,2,4,44.8
0,64,16,57.30,2,7,43.4
0,68,12,48.30,1,2,24.5
0,38,36,60.90,3,2,49.2
1,45,5,53.85,1,6,45.8
1,56,11,79.80,1,9,14.0
1,50,1,98.90,2,8,11.1
0,25,27,84.75,3,4,28.8
0,42,29,26.60,4,8,2.7
0,54,45,29.45,4,5,40.0
1,30,39,87.85,6,8,23.9
0,34,31,48.40,0,3,27.0
0,20,19,92.35,1,3,25.1
1,63,3,85.65,3,3,19.7
1,45,15,110.65,4,9,34.3
1,18,19,107.35,4,4,8.7
0,51,46,53.35,2,5,48.8
0,69,19,78.25,1,2,34.9
